Xcoordinate,Ycoordinate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
101.1417112299464,359.2575757575758,-83,-83,-83,-84,-84,-83,-89,-87,-88,-62,-81,-63,-80,-62,-80,-63,-81,-62,-81,-63,-81,-87,-79,-78,-78,-78,-78,-79,-83,-76,-57,-62,-62,-62,-62,-56,-75,-57,-82,-80,-80,-80,-57,-61,-57,-86,-85,-85,-86,-86,-86,-74,-74,-74,-74,-74,-74,-71,-71,-71,-71,-71,-71,-82,-70,-70,-70,-70,-70,-83,-81,-81,-82,-70,-85,-85,-85,-85,-84,-85,-66,-76,-71,-70,-72,-74,-75,-75,-72,-74,-74,-74,-74,-76,-67,-68,-74,-67,-67,-68,-68,-87,-76,-77,-76,-79,-66,-65,-66,-66,-65,-76,-76,-76,-75,-75,-71,-71,-71,-71,-71,-79,-79,-78,-76,-51,-76,-76
108.62834224598919,189.56060606060612,-85,-86,-86,-86,-85,-58,-82,-82,-82,-82,-82,-82,-83,-83,-83,-83,-67,-83,-68,-67,-67,-67,-83,-67,-81,-81,-81,-81,-81,-81,-82,-82,-82,-82,-81,-82,-73,-75,-73,-72,-79,-80,-58,-83,-75,-58,-75,-58,-58,-58,-75,-75,-58,-80,-66,-66,-66,-66,-66,-66,-57,-57,-57,-57,-57,-57,-73,-73,-73,-73,-73,-72,-77,-77,-76,-76,-76,-76,-77,-77,-77,-77,-77,-77,-62,-73,-72,-73,-73,-62,-62,-62,-69,-74,-61,-76,-76,-81,-78,-74,-74,-62,-63,-63,-63,-63,-73,-77,-75,-77,-77,-77,-70,-70,-69,"1,+1",-72,-69,-72,-72,-52,-69,-69,-72,-70,-69,-69,-72
240.89215686274508,32.34135472370781,-83,-83,-83,-83,-82,-83,-83,-83,-83,-83,-58,-89,-67,-78,-64,-63,-65,-64,-65,-77,-78,-77,-64,-77,-77,-66,-65,-65,-66,-66,-66,-77,-77,-77,-77,-77,-77,-70,-63,-79,-70,-70,-70,-80,-71,-80,-75,-79,-70,-62,-70,-62,-79,-70,-80,-62,-85,-85,-84,-85,-85,-84,-67,-67,-67,-67,-67,-67,-66,-66,-66,-66,-66,-66,-78,-78,-78,-78,-78,-80,-80,-80,-81,-80,-81,-81,-82,-81,-81,-81,-81,-60,-72,-60,-71,-71,-62,-62,-62,-62,-62,-72,-70,-79,-68,-81,-68,-69,-68,-69,-67,-67,-67,-67,-67,-70,-68,-66,-66,-61,-61,-60,-65,-64,-60,-61,-60,-68
315.7584670231728,573.8743315508021,-72,-63,-69,-69,-67,-67,-69,-69,-81,-81,-81,-80,-81,-81,-83,-44,-85,-85,-84,-84,-84,-84,-77,-75,-74,-75,-79,-75,-75,-74,-83,-78,-83,-83,-83,-84,-86,-80,-85,-85,-85,-84,-84,-81,-85,-80,-85,-81,-85,-80,-81,-84,-78,-49,-49,-49,-77,-76,-77,-77,-74,-72,-74,-73,-74,-72,-74,-72,-77,-77,-74,-72,-76,-76,-49,-49,-49,-54,-54,-54,-53,-54,-53,-62,-62,-62,-62,-62,-62,-82,-82,-82,-83,-83,-83,-69,-69,-70,-68,-69,-68,-70,-62,-63,-62,-70,-63,-62,-74,-68,-67,-68,-68,-66,-68,-72,-71,-80,-67,-67,-67,-37,-67,-73,-72,-73,-73,-74
480.464349376114,27.35026737967928,-72,-72,-73,-73,-73,-72,-72,-73,-73,-72,-71,-66,-66,-66,-66,-66,-66,-78,-63,-68,-63,-68,-64,-68,-64,-69,-63,-68,-64,-68,-69,-71,-69,-71,-72,-72,-72,-72,-61,-60,-60,-60,-60,-69,-61,-72,-72,-72,-72,-71,-69,-69,-69,-84,-85,-85,-84,-85,-61,-61,-61,-61,-61,-61,-83,-87,-61,-61,-61,-61,-60,-60,-83,-83,-72,-82,-82,-71,-71,-71,-83,-72,-72,-83,-84,-85,-84,-84,-84,-80,-73,-75,-76,-73,-76,-73,-71,-70,-69,-73,-70,-71,-70,-69,-70,-71,-72,-71,-71,-72,-71,-74,-74,-77,-77,-73,-58,-58,-72,-58,-72,-58,-76,-58,-69,-72,-70,-57
535.3663101604277,578.8654188948307,-79,-75,-75,-75,-75,-79,-75,-79,-80,-79,-77,-75,-82,-80,-84,-84,-83,-83,-84,-83,-81,-83,-83,-83,-83,-82,-81,-84,-82,-81,-75,-75,-75,-82,-75,-81,-75,-83,-74,-75,-74,-75,-75,-75,-82,-70,-79,-72,-82,-82,-71,-70,-72,-70,-71,-65,-65,-74,-74,-74,-74,-74,-65,-65,-68,-74,-68,-68,-79,-79,-79,-79,-78,-78,-56,-56,-56,-56,-56,-56,-64,-64,-64,-64,-64,-64,-87,-87,-86,-74,-85,-69,-68,-73,-69,-70,-70,-77,-71,-75,-70,-69,-69,-70,-73,-78,-76,-60,-76,-60,-60,-60,-60,-61,-61,-60,-61,-60,-43,-72,-73,-78,-57,-72,-58,-58,-72,-58
58.717468805704016,32.34135472370781,-84,-74,-76,-74,-75,-53,-53,-53,-53,-53,-53,-70,-86,-85,-85,-85,-85,-84,-84,-85,-85,-84,-85,-84,-61,-85,-85,-85,-85,-85,-85,-83,-84,-84,-83,-83,-83,-67,-67,-67,-67,-67,-67,-73,-73,-73,-73,-74,-73,-86,-79,-79,-79,-80,-80,-80,-62,-62,-62,-85,-85,-84,-85,-60,-79,-85,-84,-61,-62,-76,-76,-76,-78,-76,-76,-77,-69,-69,-69,-69,-69,-69,-60,-60,-60,-60,-60,-60,-85,-85,-85,-84,-85,-85,-77,-77,-77,-77,-77,-77,-75,-62,-75,-62,-69,-62,-69,-75,-68,-68,-69,-64,-73,-74,-73,-64,-66,-64,-66,-79,-66,-74,-65,-76,-64,-64,-64,-64
702.5677361853832,27.35026737967928,-62,-62,-62,-91,-82,-82,-85,-82,-82,-58,-92,-58,-88,-70,-70,-70,-66,-70,-66,-70,-58,-58,-66,-66,-59,-66,-59,-66,-59,-59,-88,-89,-75,-75,-75,-75,-75,-75,-74,-79,-74,-74,-62,-69,-62,-62,-74,-69,-73,-84,-75,-69,-69,-72,-81,-69,-74,-74,-74,-69,-84,-84,-82,-84,-84,-63,-64,-64,-64,-63,-63,-84,-86,-85,-55,-55,-55,-55,-55,-55,-80,-80,-85,-80,-80,-84,-76,-76,-76,-76,-76,-76,-68,-75,-75,-75,-75,-81,-74,-67,-74,-75,-75,-75,-67,-67,-66,-70,-67,-77,-70,-66,-66,-70,-64,-62,-61,-62,-67,-66,-67,-66,-67,-64,-61,-62,-70,-61
737.5053475935829,576.3698752228164,-82,-71,-81,-71,-71,-71,-82,-79,-79,-79,-79,-79,-79,-83,-82,-82,-82,-82,-67,-67,-67,-67,-67,-83,-67,-73,-73,-73,-76,-70,-71,-72,-71,-75,-71,-71,-76,-72,-77,-72,-71,-72,-72,-57,-58,-58,-58,-58,-57,-78,-78,-78,-78,-78,-78,-51,-50,-51,-51,-50,-51,-70,-70,-70,-71,-71,-81,-82,-71,-82,-81,-81,-81,-74,-72,-72,-72,-79,-66,-66,-69,-68,-69,-73,-74,-73,-74,-73,-72,-72,-74,-68,-66,-66,-68,-66,-72,-81,-70,-69,-71,-69,-71,-66,-66,-65,-80,-57,-64,-57,-57,-57,-57,-57,-65,-78,-81,-79,-78,-77,-77,-77,-72,-72,-71,-79,-72,-72
93.65508021390372,568.8832442067736,-76,-77,-63,-72,-63,-62,-60,-60,-60,-59,-59,-59,-80,-80,-80,-80,-80,-85,-79,-85,-85,-49,-86,-85,-85,-87,-87,-86,-87,-87,-68,-68,-69,-68,-69,-69,-83,-82,-83,-83,-83,-84,-73,-81,-81,-81,-82,-82,-74,-74,-73,-73,-74,-73,-81,-75,-82,-70,-70,-70,-53,-82,-82,-82,-82,-53,-53,-53,-53,-74,-53,-74,-74,-74,-74,-74,-74,-74,-79,-79,-78,-79,-79,-79,-61,-61,-61,-61,-61,-61,-74,-73,-74,-73,-73,-73,-74,-73,-74,-72,-70,-71,-70,-73,-72,-74,-74,-73,-70,-61,-61,-61,-61,-61,-77,-78,-72,-76,-76,-79,-79,-72,-73,-77,-75,-54,-72,-72
952.1221033868092,576.3698752228164,-70,-73,-73,-74,-73,-73,-74,-81,-80,-68,-81,-81,-81,-80,-81,-67,-66,-81,-67,-66,-67,-66,-79,-79,-78,-79,-78,-79,-82,-83,-83,-82,-83,-82,-83,-75,-71,-71,-80,-79,-71,-56,-55,-71,-56,-56,-56,-56,-82,-83,-82,-82,-82,-83,-46,-46,-46,-46,-46,-46,-86,-84,-84,-85,-84,-85,-73,-83,-73,-73,-84,-73,-73,-84,-85,-73,-85,-85,-84,-84,-84,-84,-84,-84,-77,-72,-72,-65,-77,-66,-65,-64,-71,-76,-72,-71,-57,-65,-57,-56,-57,-57,-67,-60,-74,-74,-74,-78,-74,-71,-61,-78,-58,-61,-58,-61,-58,-61,-58,-58,-71,-71,-78,-79,-78,-80,-72,-71
969.590909090909,379.2219251336899,-76,-76,-76,-81,-81,-72,-71,-71,-72,-71,-71,-82,-82,-64,-65,-64,-64,-65,-65,-77,-76,-77,-76,-77,-76,-69,-76,-76,-76,-76,-61,-61,-61,-76,-62,-76,-62,-62,-71,-71,-72,-71,-71,-71,-88,-83,-83,-83,-83,-83,-83,-76,-79,-76,-76,-76,-76,-87,-86,-86,-79,-87,-63,-63,-76,-63,-63,-63,-63,-81,-81,-81,-81,-81,-81,-37,-37,-37,-37,-37,-37,-71,-71,-71,-71,-71,-71,-73,-72,-72,-72,-73,-58,-59,-58,-63,-59,-58,-68,-68,-62,-62,-62,-62,-68,-67,-72,-72,-72,-73,-72,-69,-68,-69,-69,-69,-69,-69,-68,-69,-48,-48,-75,-48,-69,-48,-48,-59
972.0864527629233,207.02941176470597,-78,-78,-78,-77,-77,-70,-70,-70,-70,-70,-70,-87,-85,-85,-85,-85,-84,-84,-85,-85,-65,-82,-82,-82,-82,-82,-83,-62,-62,-64,-64,-62,-63,-78,-78,-78,-78,-77,-64,-63,-64,-62,-63,-62,-88,-89,-88,-84,-83,-83,-83,-84,-84,-82,-81,-71,-81,-81,-81,-71,-77,-61,-60,-77,-60,-60,-60,-60,-80,-79,-79,-80,-79,-79,-84,-85,-86,-86,-86,-41,-41,-41,-41,-41,-41,-86,-75,-76,-75,-76,-76,-76,-69,-69,-69,-70,-69,-78,-78,-73,-62,-66,-71,-69,-67,-69,-71,-70,-70,-78,-66,-59,-70,-70,-66,-64,-69,-70,-59,-59,-49,-49,-49,-75,-49,-49,-75,-61
972.0864527629233,42.323529411764866,-84,-84,-84,-85,-62,-80,-79,-81,-79,-79,-81,-58,-66,-58,-66,-58,-66,-58,-66,-66,-58,-66,-59,-88,-88,-88,-88,-89,-88,-84,-84,-85,-85,-84,-84,-76,-61,-71,-82,-82,-61,-82,-61,-83,-82,-71,-63,-62,-61,-84,-83,-76,-61,-72,-62,-62,-62,-83,-83,-63,-62,-82,-83,-82,-82,-82,-82,-75,-75,-75,-75,-75,-75,-82,-84,-84,-84,-85,-85,-85,-52,-52,-52,-52,-52,-52,-76,-77,-76,-76,-76,-76,-75,-76,-76,-71,-71,-75,-73,-71,-73,-71,-70,-63,-60,-62,-60,-60,-69,-68,-68,-57,-57,-67,-57,-56,-60,-57,5,-69,-51,-51,-51,-51,-51,-68,-68,-63
