Xcoordinate,Ycoordinate,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
1000.9785988659229,640.5265227730015,-87,-74,-74,-74,-74,-74,-82,-63,-81,-63,-82,-63,-81,-63,-82,-63,-63,-82,-79,-78,-78,-79,-78,-76,-76,-81,-80,-76,-81,-81,-75,-81,-84,-83,-84,-84,-84,-84,-57,-57,-71,-56,-69,-53,-68,-67,-53,-64,-60,-59,-57,-57,-57,-57,-57,-77,-68,-72,-73,-80,-82,-80,-82,-67,-67,-68,-73,-72,-70,-71,-67,-81,-80,-82,-75,-68,-80,-75,-75,-68,-69,-69,-68,-75,-57,-57,-58,-58,-57,-57,-85,-85,-84,-85,-82,-81,-81,-82,-82,-81,-76,-76,-75,-75,-76,-76,-73,-73,-81,-65,-65,-73,-75,-75,-74,-65,-74,-64,-53,-64,-52,-71,-52,-72,-52,-52,-52,-64,-100
1004.1869398207426,717.5267056886773,-81,-81,-80,-80,-67,-67,-67,-67,-67,-67,-78,-78,-78,-78,-78,-77,-80,-80,-86,-87,-87,-87,-86,-87,-74,-81,-85,-85,-80,-80,-72,-72,-72,-72,-73,-72,-57,-72,-67,-64,-63,-48,-48,-48,-65,-60,-59,-60,-60,-66,-59,-65,-66,-65,-60,-60,-59,-60,-60,-70,-72,-71,-71,-83,-79,-68,-69,-69,-79,-68,-68,-68,-86,-62,-65,-74,-74,-71,-78,-57,-78,-57,-62,-56,-57,-57,-64,-76,-76,-76,-76,-76,-76,-73,-73,-73,-73,-73,-73,-69,-68,-68,-68,-76,-75,-75,-75,-74,-69,-74,-75,-74,-75,-74,-66,-67,-68,-56,-55,-56,-55,-56,-56,-83,-84,-84,-83,-84,-100
1010.6036217303823,794.5268886043532,-76,-76,-85,-86,-85,-85,-85,-85,-80,-85,-79,-79,-78,-79,-79,-79,-88,-89,-83,-83,-85,-83,-83,-83,-66,-59,-59,-59,-59,-62,-62,-57,-57,-57,-58,-66,-58,-59,-60,-58,-58,-59,-58,-58,-58,-75,-58,-85,-86,-85,-73,-73,-79,-78,-76,-76,-79,-77,-78,-76,-78,-78,-79,-80,-81,-80,-80,-78,-74,-74,-74,-74,-72,-71,-70,-73,-70,-60,-60,-60,-60,-73,-60,-56,-57,-56,-57,-57,-86,-77,-78,-77,-77,-82,-81,-81,-82,-81,-81,-85,-72,-73,-77,-77,-68,-68,-74,-74,-74,-80,-80,-80,-80,-81,-81,-84,-74,-73,-74,-69,-70,-74,-55,-55,-55,-54,-54,-55,-100
1036.270349368941,938.9022315712455,-74,-75,-84,-85,-84,-84,-83,-85,-85,-86,-88,-82,-82,-65,-65,-72,-63,-62,-63,-64,-64,-62,-63,-64,-66,-45,-46,-45,-45,-45,-56,-55,-62,-62,-61,-62,-59,-64,-69,-86,-86,-68,-79,-79,-78,-78,-78,-70,-71,-72,-69,-71,-69,-79,-77,-77,-80,-80,-80,-82,-82,-81,-73,-73,-73,-73,-67,-82,-68,-73,-68,-73,-68,-68,-68,-72,-72,-83,-84,-81,-80,-80,-81,-80,-71,-72,-71,-72,-61,-60,-57,-57,-61,-56,-60,-61,-56,-61,-57,-56,-80,-84,-85,-85,-85,-85,-84,-80,-60,-81,-60,-76,-76,-60,-76,-81,-60,-39,-39,-39,-60,-39,-60,-81,-61,-39,-61,-39,-100
1042.6870312785804,1019.1107554417413,-59,-58,-61,-60,-61,-60,-60,-60,-87,-86,-86,-85,-85,-85,-86,-75,-75,-76,-76,-76,-76,-79,-79,-80,-80,-80,-79,-79,-87,-87,-85,-85,-61,-61,-74,-70,-71,-65,-70,-65,-65,-55,-55,-55,-66,-55,-69,-62,-66,-55,-60,-64,-60,-60,-80,-80,-80,-77,-85,-76,-77,-77,-77,-81,-77,-80,-80,-81,-86,-74,-84,-84,-85,-84,-79,-79,-79,-74,-79,-66,-65,-65,-65,-79,-65,-79,-65,-74,-85,-85,-74,-74,-74,-62,-58,-62,-58,-62,-58,-63,-58,-62,-59,-63,-58,-81,-57,-71,-57,-72,-57,-58,-71,-57,-64,-60,-83,-83,-83,-84,-83,-83,-47,-47,-47,-47,-47,-47,-100
1042.6870312785804,849.0686848362902,-82,-80,-81,-76,-76,-76,-76,-75,-77,-83,-82,-82,-82,-83,-83,-88,-87,-76,-76,-75,-76,-89,-89,-60,-60,-65,-66,-61,-53,-53,-53,-53,-53,-66,-59,-59,-85,-85,-78,-78,-78,-78,-78,-78,-69,-80,-80,-79,-73,-79,-80,-73,-69,-69,-73,-69,-74,-46,-45,-46,-46,-46,-46,-76,-74,-83,-82,-74,-79,-72,-80,-72,-72,-84,-74,-72,-79,-79,-80,-79,-84,-83,-83,-85,-62,-61,-62,-63,-79,-79,-71,-67,-61,-61,-79,-79,-67,-62,-63,-87,-87,-87,-86,-88,-87,-81,-80,-81,-80,-80,-66,-66,-72,-50,-72,-66,-50,-72,-50,-66,-50,-72,-72,-50,-72,-65,-50,-65,-100
1052.3120541430399,1086.4859154929577,-66,-59,-58,-80,-69,-66,-55,-70,-71,-70,-74,-86,-85,-85,-85,-86,-69,-69,-69,-69,-69,-69,-82,-82,-88,-78,-78,-78,-79,-79,-72,-72,-72,-72,-72,-72,-89,-90,-81,-81,-69,-69,-63,-63,-63,-63,-63,-63,-63,-63,-60,-59,-59,-64,-66,-59,-59,-44,-68,-59,-58,-59,-58,-60,-59,-59,-83,-83,-82,-84,-73,-83,-73,-82,-73,-73,-73,-82,-83,-79,-80,-80,-71,-71,-79,-71,-80,-71,-71,-79,-71,-80,-82,-68,-81,-68,-69,-69,-85,-85,-85,-85,-84,-62,-63,-61,-62,-62,-64,-86,-85,-85,-70,-70,-70,-75,-74,-74,-74,-50,-50,-50,-65,-70,-50,-50,-65,-50,-100
1068.3537589171392,1160.2777574538136,-86,-81,-81,-81,-80,-81,-81,-74,-74,-74,-74,-74,-77,-74,-77,-80,-80,-80,-80,-81,-80,-79,-78,-80,-78,-80,-78,-88,-86,-76,-76,-80,-81,-70,-60,-62,-59,-59,-59,-59,-59,-60,-68,-62,-70,-69,-63,-63,-82,-82,-83,-82,-82,-82,-86,-78,-82,-86,-86,-78,-78,-77,-77,-73,-73,-73,-73,-73,-78,-73,-77,-77,-79,-80,-80,-76,-76,-80,-76,-76,-79,-76,-55,-55,-55,-55,-55,-55,-72,-72,-73,-73,-85,-60,-67,-64,-60,-67,-60,-63,-60,-66,-60,-65,-61,-79,-79,-71,-82,-83,-82,-82,-82,-80,-81,-81,-81,-80,-80,-72,-49,-49,-49,-49,-49,-74,-49,-74,-100
1106.8538503749774,422.3593378452531,-79,-78,-78,-79,-79,-78,-55,-55,-54,-55,-55,-55,-81,-81,-81,-81,-81,-81,-62,-77,-56,-55,-56,-56,-34,-56,-34,-34,-64,-55,-34,-35,-55,-54,-57,-61,-61,-68,-74,-73,-60,-44,-83,-84,-83,-83,-84,-84,-61,-61,-74,-83,-83,-75,-75,-75,-75,-75,-74,-82,-85,-70,-71,-71,-71,-71,-70,-82,-67,-67,-66,-67,-66,-66,-86,-80,-69,-69,-71,-71,-71,-71,-71,-71,-80,-81,-85,-30,-30,-30,-30,-30,-30,-79,-78,-78,-78,-78,-78,-81,-81,-80,-81,-81,-81,-59,-66,-78,-78,-65,-59,-65,-78,-65,-77,-65,-59,-65,-76,-76,-79,-76,-59,-75,-75,-59,-73,-59,-100
1106.8538503749774,775.2768428754343,-74,-73,-74,-73,-76,-76,-75,-75,-76,-76,-85,-85,-86,-88,-88,-86,-69,-69,-87,-69,-69,-69,-69,-90,-88,-69,-62,-61,-60,-59,-70,-67,-55,-67,-55,-55,-55,-54,-69,-59,-68,-71,-64,-69,-70,-72,-69,-68,-87,-87,-78,-78,-78,-79,-78,-78,-76,-76,-76,-76,-76,-76,-86,-66,-65,-77,-75,-77,-74,-77,-66,-77,-65,-73,-66,-50,-50,-50,-50,-50,-50,-66,-78,-82,-83,-83,-80,-80,-80,-80,-80,-83,-83,-83,-72,-72,-58,-58,-57,-57,-58,-57,-71,-71,-71,-66,-75,-79,-71,-85,-76,-76,-79,-75,-75,-78,-58,-58,-75,-79,-75,-57,-58,-57,-58,-79,-84,-83,-100
1113.2705322846168,839.4436619718308,-66,-67,-79,-79,-79,-79,-78,-79,-67,-67,-67,-67,-67,-67,-80,-81,-79,-80,-74,-74,-74,-79,-74,-75,-74,-88,-88,-87,-87,-87,-82,-81,-73,-73,-73,-73,-73,-73,-68,-68,-66,-58,-71,-62,-59,-58,-58,-66,-66,-71,-70,-53,-53,-53,-53,-53,-71,-59,-59,-57,-57,-59,-59,-59,-56,-57,-59,-57,-60,-84,-84,-55,-55,-55,-57,-79,-79,-59,-59,-55,-55,-59,-68,-58,-57,-84,-85,-86,-86,-85,-86,-83,-82,-82,-82,-82,-82,-77,-77,-77,-70,-70,-70,-78,-69,-52,-53,-53,-52,-53,-53,-86,-85,-83,-72,-72,-76,-76,-73,-72,-83,-75,-75,-75,-77,-72,-58,-71,-100
1122.8955551490762,897.1937991585878,-58,-58,-58,-77,-77,-77,-73,-73,-74,-72,-74,-73,-77,-77,-77,-88,-88,-86,-73,-72,-72,-86,-72,-73,-72,-88,-88,-87,-65,-64,-61,-61,-64,-63,-61,-71,-66,-66,-67,-47,-47,-47,-66,-47,-47,-67,-71,-61,-61,-67,-66,-60,-60,-60,-67,-66,-60,-60,-66,-54,-53,-77,-77,-78,-65,-68,-68,-68,-67,-65,-68,-65,-68,-64,-66,-66,-84,-85,-85,-85,-85,-84,-83,-83,-82,-82,-82,-82,-89,-70,-73,-70,-82,-83,-82,-82,-74,-82,-70,-74,-82,-70,-60,-60,-70,-60,-60,-59,-60,-73,-73,-77,-78,-70,-53,-53,-53,-53,-53,-53,-70,-70,-75,-74,-74,-75,-74,-75,-100
1129.3122370587162,1089.6942564477774,-53,-54,-68,-65,-67,-85,-84,-84,-85,-62,-62,-62,-63,-62,-82,-82,-81,-82,-82,-81,-72,-72,-72,-72,-83,-72,-75,-76,-75,-76,-76,-75,-61,-61,-71,-72,-49,-60,-61,-60,-61,-59,-60,-59,-85,-85,-85,-85,-61,-62,-62,-61,-62,-61,-86,-85,-85,-85,-85,-85,-85,-85,-82,-82,-85,-75,-75,-74,-74,-75,-74,-75,-76,-73,-75,-74,-74,-80,-81,-79,-78,-78,-79,-79,-79,-83,-85,-82,-84,-84,-71,-71,-71,-83,-71,-79,-66,-66,-66,-66,-66,-65,-85,-85,-85,-84,-85,-82,-78,-82,-83,-82,-86,-85,-84,-78,-78,-79,-71,-78,-71,-83,-57,-57,-57,-57,-57,-56,-100
1132.5205780135357,1153.8610755441741,-69,-68,-60,-59,-70,-70,-69,-70,-69,-69,-60,-73,-87,-87,-63,-63,-79,-80,-72,-72,-84,-78,-79,-87,-75,-75,-75,-75,-75,-75,-85,-85,-85,-84,-84,-85,-75,-75,-75,-75,-75,-75,-64,-73,-72,-63,-60,-60,-62,-61,-62,-61,-72,-73,-69,-54,-54,-54,-53,-53,-55,-55,-55,-55,-69,-55,-66,-58,-63,-64,-64,-60,-59,-59,-59,-59,-60,-75,-75,-75,-74,-75,-79,-79,-79,-80,-83,-83,-77,-77,-77,-77,-77,-77,-83,-83,-84,-84,-82,-81,-76,-76,-80,-62,-62,-62,-62,-62,-62,-82,-83,-83,-76,-82,-79,-80,-83,-79,-83,-79,-76,-79,-45,-45,-45,-45,-45,-45,-100
1135.7289189683556,1041.56914212548,-80,-79,-42,-42,-42,-43,-42,-43,-60,-60,-60,-60,-60,-60,-83,-82,-82,-83,-82,-86,-74,-73,-74,-74,-74,-73,-86,-81,-81,-81,-80,-80,-80,-57,-57,-57,-57,-57,-48,-70,-48,-48,-48,-48,-70,-61,-61,-66,-75,-76,-69,-69,-69,-69,-61,-61,-61,-60,-61,-57,-57,-57,-55,-82,-83,-82,-82,-83,-81,-68,-57,-57,-56,-55,-57,-57,-57,-85,-85,-86,-85,-85,-85,-84,-83,-83,-84,-84,-83,-73,-73,-74,-72,-73,-73,-70,-70,-70,-70,-70,-70,-87,-78,-78,-55,-80,-81,-81,-81,-81,-81,-81,-81,-68,-68,-68,-68,-68,-80,-80,-81,-80,-61,-62,-64,-61,-64,-64,-100
1138.9372599231756,964.5689592098042,-39,-61,-39,-61,-62,-38,-38,-61,-80,-57,-57,-57,-57,-57,-57,-84,-87,-75,-75,-75,-74,-76,-75,-83,-82,-82,-83,-87,-86,-74,-74,-74,-74,-74,-74,-69,-71,-69,-58,-58,-70,-67,-67,-68,-62,-62,-51,-51,-51,-51,-51,-57,-57,-73,-72,-72,-61,-61,-62,-61,-75,-51,-61,-72,-52,-77,-77,-80,-81,-77,-77,-65,-66,-66,-63,-65,-77,-66,-57,-53,-57,-57,-57,-57,-86,-85,-88,-79,-71,-72,-78,-78,-71,-71,-83,-83,-83,-83,-69,-71,-69,-68,-68,-69,-68,-70,-76,-75,-80,-80,-80,-69,-74,-74,-51,-54,-55,-53,-54,-69,-74,-76,-76,-76,-74,-72,-74,-76,-100
1183.8540332906532,406.317633071154,-79,-79,-79,-62,-78,-62,-77,-77,-62,-62,-62,-62,-84,-84,-85,-85,-84,-85,-84,-85,-85,-84,-85,-84,-80,-80,-80,-81,-56,-56,-56,-56,-56,-56,-88,-47,-47,-47,-47,-47,-58,-60,-54,-55,-72,-77,-61,-61,-72,-71,-59,-59,-59,-59,-59,-62,-61,-73,-76,-76,-84,-62,-74,-61,-62,-62,-61,-62,-61,-61,-61,-63,-62,-80,-67,-69,-69,-78,-81,-80,-68,-66,-68,-69,-69,-68,-43,-43,-43,-68,-43,-43,-43,-75,-75,-75,-75,-75,-75,-76,-81,-71,-71,-57,-58,-84,-84,-83,-83,-85,-85,-71,-76,-71,-76,-77,-71,-58,-71,-57,-57,-58,-57,-58,-57,-58,-57,-58,-100
1183.8540332906532,765.6518200109747,-66,-68,-68,-84,-85,-84,-84,-85,-85,-68,-68,-68,-68,-67,-68,-65,-64,-67,-60,-55,-56,-55,-55,-59,-55,-84,-84,-68,-68,-68,-62,-62,-74,-74,-74,-62,-74,-61,-74,-74,-85,-70,-70,-70,-70,-70,-70,-74,-80,-80,-80,-79,-80,-80,-85,-57,-74,-74,-74,-85,-77,-74,-77,-74,-77,-77,-58,-57,-57,-47,-57,-47,-47,-47,-47,-47,-57,-81,-80,-77,-77,-78,-80,-78,-80,-78,-80,-78,-81,-72,-71,-80,-78,-78,-78,-78,-78,-79,-76,-68,-70,-70,-69,-70,-70,-69,-83,-83,-83,-83,-82,-82,-75,-72,-73,-71,-51,-51,-51,-51,-52,-51,-58,-57,-57,-57,-57,-57,-100
1193.4790561551126,1153.8610755441741,-80,-74,-74,-80,-82,-50,-50,-50,-50,-66,-50,-66,-50,-80,-81,-80,-80,-80,-79,-69,-69,-69,-68,-68,-68,-87,-86,-86,-87,-86,-86,-87,-87,-86,-87,-86,-76,-77,-76,-76,-69,-68,-68,-67,-67,-67,-68,-54,-61,-54,-62,-54,-55,-62,-56,-54,-54,-56,-54,-55,-48,-67,-67,-67,-67,-67,-67,-64,-78,-78,-78,-61,-60,-60,-60,-78,-60,-60,-77,-78,-77,-77,-78,-74,-78,-75,-74,-74,-74,-73,-82,-82,-80,-80,-80,-59,-60,-59,-59,-59,-59,-78,-82,-82,-78,-82,-82,-82,-82,-77,-77,-77,-77,-77,-80,-80,-78,-80,-77,-78,-78,-78,-51,-51,-51,-51,-51,-51,-100
1264.0625571611486,1160.2777574538136,-69,-76,-77,-77,-66,-73,-59,-60,-60,-61,-60,-74,-74,-86,-88,-70,-71,-70,-64,-64,-65,-64,-70,-64,-70,-63,-64,-63,-82,-82,-82,-82,-82,-82,-59,-87,-87,-79,-79,-79,-79,-79,-79,-73,-60,-69,-69,-70,-69,-70,-70,-70,-59,-60,-60,-68,-69,-60,-55,-55,-55,-55,-55,-70,-68,-60,-72,-74,-60,-60,-84,-84,-84,-69,-70,-69,-70,-71,-69,-70,-69,-71,-69,-69,-70,-79,-79,-78,-79,-78,-78,-84,-84,-83,-83,-83,-83,-83,-82,-84,-84,-54,-54,-54,-54,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1270.4792390707885,412.73431498079367,-78,-78,-78,-79,-79,-79,-78,-60,-60,-60,-60,-60,-60,-84,-84,-84,-84,-51,-51,-51,-51,-51,-57,-55,-59,-57,-57,-54,-54,-73,-65,-65,-64,-60,-62,-53,-53,-72,-71,-74,-67,-70,-57,-58,-69,-58,-58,-57,-51,-83,-83,-83,-83,-71,-74,-58,-68,-73,-83,-58,-59,-59,-57,-59,-58,-59,-58,-59,-68,-68,-58,-59,-83,-83,-82,-71,-71,-70,-83,-86,-67,-67,-67,-67,-65,-67,-51,-51,-51,-51,-51,-51,-85,-86,-82,-85,-81,-81,-81,-80,-81,-81,-75,-60,-75,-51,-76,-76,-85,-85,-75,-77,-75,-60,-75,-60,-55,-76,-54,-60,-54,-55,-76,-55,-60,-55,-61,-100,-71
1305.7709895738067,775.2768428754343,-87,-70,-70,-70,-87,-70,-70,-70,-77,-76,-77,-77,-76,-77,-67,-58,-54,-63,-56,-57,-57,-56,-61,-65,-61,-69,-69,-52,-53,-42,-42,-52,-42,-53,-42,-60,-52,-60,-42,-61,-60,-59,-61,-59,-59,-59,-62,-62,-61,-59,-85,-83,-84,-83,-80,-80,-81,-80,-80,-81,-78,-79,-79,-79,-79,-79,-77,-76,-73,-77,-74,-77,-57,-73,-56,-73,-57,-56,-34,-34,-34,-34,-57,-34,-34,-56,-82,-84,-83,-84,-82,-83,-83,-84,-82,-83,-74,-74,-76,-81,-81,-81,-81,-81,-70,-71,-71,-66,-66,-70,-73,-73,-73,-66,-73,-70,-73,-66,-55,-70,-55,-56,-56,-66,-56,-56,-61,-62,-100
1331.437717212365,1157.0694164989939,-69,-76,-77,-77,-70,-64,-66,-59,-59,-74,-74,-64,-64,-83,-63,-69,-64,-69,-64,-69,-69,-63,-69,-69,-69,-69,-83,-84,-84,-83,-83,-61,-60,-60,-60,-60,-60,-84,-84,-84,-84,-89,-89,-58,-58,-60,-61,-61,-57,-61,-58,-61,-60,-47,-48,-60,-48,-48,-48,-62,-59,-73,-55,-56,-85,-85,-85,-76,-76,-77,-76,-76,-76,-76,-76,-77,-76,-77,-77,-89,-88,-84,-84,-85,-84,-83,-83,-84,-74,-74,-75,-74,-74,-74,-84,-84,-46,-46,-46,-46,-46,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1341.0627400768249,415.9426559356134,-61,-61,-61,-61,-61,-52,-45,-58,-52,-62,-56,-59,-60,-52,-62,-61,-62,-62,-64,-63,-58,-59,-56,-56,-68,-64,-67,-62,-69,-84,-84,-83,-58,-58,-60,-60,-74,-76,-78,-78,-78,-77,-76,-74,-74,-74,-60,-59,-60,-60,-59,-60,-59,-60,-59,-60,-76,-77,-68,-76,-75,-75,-75,-77,-67,-67,-67,-67,-51,-50,-51,-51,-51,-51,-67,-84,-83,-84,-84,-85,-81,-81,-81,-81,-80,-81,-84,-70,-84,-83,-83,-83,-84,-83,-83,-84,-83,-83,-83,-84,-67,-67,-67,-83,-86,-84,-82,-83,-85,-70,-66,-67,-70,-60,-60,-60,-60,-54,-70,-54,-70,-60,-54,-67,-54,-55,-54,-60,-100
1405.2295591732213,1166.6944393634535,-69,-68,-76,-89,-90,-74,-74,-79,-79,-79,-79,-79,-79,-64,-64,-64,-71,-64,-72,-72,-71,-64,-71,-64,-63,-71,-63,-85,-85,-85,-84,-86,-84,-68,-67,-67,-67,-67,-67,-88,-88,-88,-88,-59,-59,-60,-60,-59,-59,-59,-59,-59,-59,-66,-37,-37,-37,-37,-36,-69,-64,-60,-70,-77,-77,-61,-61,-74,-75,-74,-75,-74,-74,-87,-87,-86,-86,-87,-83,-83,-83,-83,-82,-83,-86,-78,-78,-78,-78,-78,-78,-81,-82,-81,-81,-81,-34,-34,-34,-34,-82,-34,-34,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
1437.3129687214196,778.4851838302541,-64,-64,-64,-70,-70,-70,-70,-70,-70,-79,-77,-77,-78,-78,-78,-78,-86,-84,-85,-86,-75,-74,-68,-68,-68,-68,-68,-68,-62,-62,-63,-62,-51,-69,-58,-63,-58,-58,-47,-47,-58,-47,-58,-47,-47,-58,-58,-82,-70,-70,-81,-81,-71,-71,-70,-84,-83,-84,-80,-81,-73,-66,-66,-66,-73,-65,-66,-73,-81,-73,-43,-43,-43,-43,-43,-43,-86,-71,-72,-72,-72,-76,-76,-76,-83,-69,-69,-69,-69,-69,-69,-77,-76,-77,-77,-77,-67,-77,-56,-56,-56,-56,-56,-56,-55,-55,-55,-55,-55,-54,-78,-78,-78,-68,-82,-68,-82,-68,-82,-82,-82,-56,-56,-56,-56,-56,-56,-100,-71
